"","size","density","transitivity","diameter","distance","avgpath","category"
"1",59762,0.004,0.887,12,0.072,3.635,"author"
"2",1426,0,NA,0,0,NA,"journal"
"3",2715,0.021,0.162,4,0.918,2.012,"keywords"
"4",2715,0.021,0.162,4,0.918,2.012,"autho-keywords"
"5",59762,0.004,0.887,12,0.072,3.635,"author"
"6",5469,0.005,0.351,9,0.133,3.259,"institution"
"7",153,0.255,0.658,4,0.547,1.821,"geography"
"8",5287,0.003,0.351,9,0.069,3.792,"insitution"
"9",837,0.012,0.258,6,0.223,3.12,"funding"
"10",15,0.443,0.908,2,0.061,5.8,"funding-group"
"11",52,0.113,0.489,3,0.335,4.168,"funding country"
